target_domain,target_name,target_users,users_with_0_sources,users_with_1_source,users_with_2_sources,users_with_3_sources,frac_with_ge1_source,frac_with_ge2_sources,frac_with_3_sources,mean_sources_available
dom1,dom1,40055,0,0,1137,38918,1.0,1.0,0.9716140307077769,2.971614030707777
dom2,dom2,40075,0,0,1157,38918,1.0,1.0,0.9711291328758578,2.971129132875858
dom3,dom3,39880,0,0,962,38918,1.0,1.0,0.9758776328986961,2.9758776328986962
dom4,dom4,39403,0,0,485,38918,1.0,1.0,0.987691292541177,2.987691292541177
