domain_a,domain_a_name,domain_b,domain_b_name,users_a,users_b,intersection,union,jaccard,coverage_a_by_b,coverage_b_by_a
dom1,dom1,dom2,dom2,40055,40075,39965,40165,0.9950205402713805,0.9977530895019349,0.9972551466001248
dom1,dom1,dom3,dom3,40055,39880,39770,40165,0.9901655670359766,0.9928847834227936,0.9972417251755266
dom1,dom1,dom4,dom4,40055,39403,39293,40165,0.9782895555832192,0.9809761577830484,0.9972083343907824
dom2,dom2,dom3,dom3,40075,39880,39790,40165,0.9906635130088386,0.9928883343730506,0.9977432296890673
dom2,dom2,dom4,dom4,40075,39403,39313,40165,0.9787875015560812,0.9809856519026825,0.9977159099560947
dom3,dom3,dom4,dom4,39880,39403,39118,40165,0.9739325283206772,0.9808926780341023,0.9927670481943
